RecordNo,Релевантность,Таксономия релевантные,Таксономия не релевантные,Длина отзыва,Ценности
4727,0,1,0,1,0
5447,1,0,0,0,1
7794,0,1,0,0,1
7230,1,0,0,0,1
341,0,0,0,0,0
7764,0,1,0,0,0
1720,0,1,0,0,1
5628,0,0,0,0,1
45,0,0,0,0,1
1393,0,1,0,1,0
5702,0,0,0,1,1
5718,0,0,0,0,1
4861,0,1,1,0,1
3868,0,0,0,0,1
7038,0,1,0,0,0
3700,0,0,0,0,0
6464,0,0,1,0,0
7779,0,0,0,0,0
1146,0,0,0,0,1
2036,0,1,0,0,0
176,0,0,0,1,1
1512,0,0,0,0,0
682,0,0,0,0,0
5865,0,0,0,0,1
7147,0,0,1,0,0
2920,1,1,0,0,1
7401,0,0,0,0,1
7948,0,0,0,0,0
2919,0,0,0,0,0
2219,0,0,0,0,1
501,0,0,1,0,0
4354,0,0,0,1,1
2967,0,1,0,0,1
6738,0,1,1,0,1
2038,0,0,0,0,0
846,0,1,0,0,0
3093,0,0,0,0,0
4147,0,0,0,0,0
916,0,1,0,0,1
6290,1,1,0,0,1
1284,0,1,1,0,0
6209,0,0,0,0,1
6040,0,0,0,0,0
7216,1,1,0,0,1
1340,0,0,0,0,1
6819,0,1,0,1,0
3261,0,0,0,0,0
2151,0,0,0,0,1
4435,1,0,0,1,1
4507,0,1,0,0,1
4929,0,0,0,0,0
5281,0,1,0,0,0
7654,0,1,0,0,1
4782,0,0,0,0,1
1789,0,0,0,0,0
2539,0,1,0,0,1
4641,0,1,0,0,0
5272,1,1,0,0,1
1155,0,0,0,0,0
4892,0,0,0,0,0
5720,0,0,0,0,0
4940,0,0,0,0,1
6855,0,0,1,0,1
1497,0,1,0,0,1
4287,0,0,0,0,1
1718,1,1,0,0,1
6284,0,0,0,0,1
187,0,0,0,0,1
288,0,0,0,0,0
6062,0,0,0,0,1
2367,0,0,0,1,1
669,0,1,0,0,1
41,0,0,0,0,1
7091,0,1,0,1,1
684,0,0,0,0,1
7713,0,0,1,0,0
2177,0,0,0,0,1
2852,0,0,0,0,0
402,1,1,1,0,1
5200,0,1,0,1,1
4772,0,0,0,0,0
5669,1,1,0,0,1
6484,0,0,0,0,0
3683,0,0,0,0,1
5348,0,0,0,1,1
1127,0,1,0,0,1
1723,0,1,0,1,1
1859,0,0,0,0,0
5015,0,0,0,0,0
1480,0,1,0,1,0
7205,0,1,0,0,1
6503,0,1,0,0,0
6123,0,1,0,0,1
5022,0,1,0,0,0
3932,0,1,0,1,1
4653,0,0,0,0,0
4006,0,0,0,0,0
4308,0,0,0,0,0
691,1,1,0,0,1
6212,0,1,0,1,0
5067,0,0,0,0,1
3268,0,1,1,0,1
7475,0,1,0,0,1
398,0,0,0,0,1
1082,0,1,0,0,0
6283,0,1,0,0,0
340,0,0,0,0,0
4725,0,1,0,0,1
1564,0,0,0,0,1
5970,0,1,1,0,1
5989,1,1,0,0,1
7878,1,1,0,0,1
1563,0,1,0,1,0
6232,0,0,0,1,1
1820,0,0,0,0,0
1860,0,1,0,0,0
5117,0,0,0,0,0
5148,1,1,0,0,1
5963,0,0,0,0,1
4010,0,0,0,0,1
169,0,0,0,0,0
5803,0,1,0,1,1
1574,0,0,0,0,0
2598,0,1,0,0,1
2977,0,0,0,0,0
2299,0,0,0,0,0
3808,0,1,0,0,0
7517,0,1,0,0,1
6501,0,0,0,0,1
7298,0,0,0,1,1
4987,0,1,0,1,0
6453,0,1,0,0,0
469,0,0,0,0,1
1330,0,0,0,0,1
433,1,1,0,0,1
2790,0,1,0,0,1
1261,0,1,0,0,1
5797,0,1,0,0,0
3656,0,1,0,0,0
5075,1,0,0,0,1
2266,0,1,0,0,1
1225,0,0,0,1,1
7958,0,1,0,0,1
4523,0,1,1,0,1
2235,0,1,0,0,1
188,0,1,0,0,0
7066,1,1,0,0,1
6580,0,1,0,0,0
802,0,1,0,0,1
6635,0,1,0,0,1
1599,0,1,0,0,1
1739,0,1,0,1,0
475,0,0,1,0,0
5638,1,1,0,1,1
6485,0,0,0,0,1
7871,0,0,0,1,1
1327,0,0,0,0,1
3660,0,1,0,0,0
1849,0,0,0,1,1
5682,0,1,0,1,0
3666,0,1,0,0,0
1137,0,1,0,0,0
5985,0,1,0,1,0
6387,0,1,0,1,1
7403,0,0,0,0,1
2358,0,0,0,0,0
436,0,0,0,0,0
4630,0,0,0,0,1
2717,0,1,0,0,0
4551,0,0,0,0,0
2420,0,1,0,0,1
3355,0,0,0,0,1
5536,0,1,0,0,0
2181,1,1,0,0,1
3218,0,1,0,0,1
1907,0,0,1,0,0
7785,0,0,1,1,1
2759,0,1,0,0,1
1508,1,1,0,1,1
4291,1,1,0,1,1
6864,0,0,0,0,1
7816,0,1,0,0,0
699,0,1,0,0,1
736,0,0,0,0,1
7825,0,0,0,0,0
5523,0,1,0,1,0
1550,0,1,0,0,1
7277,0,1,0,0,1
431,0,1,0,0,0
1862,0,0,0,1,0
1528,0,1,0,0,0
4527,0,1,0,1,1
6914,0,0,0,0,0
6031,0,1,0,1,0
7347,0,0,0,0,0
2259,0,0,0,0,1
6583,0,1,1,0,1
828,0,0,0,0,0
1715,1,1,0,0,1
3698,0,1,0,1,0
3788,0,0,1,0,0
4924,0,1,0,0,0
3082,1,1,0,0,1
7657,0,0,0,0,0
1874,0,0,0,1,1
336,0,0,0,0,0
1020,0,0,0,0,0
5186,0,0,0,0,0
60,1,0,0,0,1
3440,0,0,1,0,0
1717,0,1,0,1,1
821,0,1,0,0,0
6834,0,1,0,0,0
3354,0,0,0,0,1
1437,0,1,0,0,0
2834,0,0,0,0,1
371,0,1,0,0,1
6772,0,0,0,0,0
6593,0,0,0,0,0
786,0,1,0,1,1
1853,0,0,0,0,0
3424,0,1,0,0,1
3783,0,0,0,0,0
4489,0,1,0,0,0
1077,0,0,0,0,1
566,0,0,0,0,0
1947,0,1,0,0,0
2158,0,1,0,1,1
5898,0,1,0,0,1
7841,1,1,0,0,1
6403,0,0,0,0,0
3599,0,0,0,0,0
5613,0,0,0,0,1
5699,0,0,0,1,1
5345,0,0,0,0,0
901,0,0,0,0,1
5088,0,0,0,0,0
1255,0,0,0,0,0
1364,0,0,0,1,1
3176,0,1,1,1,0
7922,0,1,0,0,0
2269,0,0,0,0,0
3016,0,1,0,1,0
2546,0,0,0,0,0
6882,0,0,1,1,0
6146,0,1,0,0,1
1676,0,1,0,0,0
866,0,1,0,0,0
5114,0,1,0,1,1
582,0,1,0,0,0
2208,0,0,0,0,1
3363,0,1,0,0,0
6606,0,0,0,0,0
2327,0,0,0,0,1
5746,0,0,0,0,0
1570,0,0,0,0,0
7339,0,1,0,0,0
6622,1,1,1,0,1
3223,0,0,0,1,1
6946,0,0,0,0,1
4171,0,0,0,1,1
4994,1,1,0,0,1
7523,0,0,0,0,0
7340,0,0,0,0,0
3509,0,1,0,1,0
1561,0,0,0,0,0
5376,1,0,0,0,1
7430,0,0,0,1,1
4802,0,1,0,0,0
657,0,0,0,0,0
7681,0,0,0,1,1
7509,0,0,0,0,1
1953,0,1,0,0,1
7556,0,0,0,0,1
2003,0,1,0,1,0
3925,0,0,0,0,0
4222,0,0,0,0,0
4177,0,0,0,0,0
1991,0,0,0,0,0
7023,0,0,0,0,0
2570,0,0,0,0,0
5422,0,1,0,0,1
3694,0,0,0,0,1
6442,0,1,0,0,0
3058,0,1,0,0,0
7418,0,0,0,0,0
3498,0,0,0,0,0
6790,0,0,0,0,0
2404,0,0,0,0,1
5786,0,0,0,1,1
1325,0,1,0,1,1
5161,0,1,0,0,0
617,0,1,0,0,0
1529,0,1,0,0,0
7081,0,0,0,0,1
426,0,1,0,0,0
1159,0,0,0,0,1
5037,0,1,0,0,1
3747,0,0,0,0,0
2646,0,0,0,0,1
2661,1,1,0,0,1
2863,0,1,0,0,0
5323,1,1,0,0,1
1190,0,1,1,0,0
2710,0,0,0,0,1
1358,0,0,1,0,1
6311,0,0,0,0,1
3468,0,0,0,0,0
7714,0,0,0,0,0
1224,0,0,0,0,1
3089,0,0,0,0,1
5697,0,1,0,1,0
7737,0,0,0,0,1
6766,1,0,0,0,1
72,0,1,0,0,1
5054,0,1,0,0,1
5328,0,1,0,1,1
6771,0,0,0,0,0
5813,0,1,0,0,1
489,0,0,0,0,0
2609,0,0,0,0,1
6616,0,1,0,0,1
4398,0,0,0,1,1
373,0,0,0,0,0
5229,1,0,0,0,1
1054,0,0,1,0,0
4417,0,1,0,0,1
5277,0,1,0,1,0
1463,0,1,0,0,1
5683,0,1,0,0,1
2972,0,1,0,0,1
2599,0,0,0,0,1
5882,0,1,0,0,1
7134,0,1,0,1,1
4245,0,0,1,0,0
3321,0,0,0,0,1
4601,0,0,0,0,0
6736,0,1,0,0,0
2572,0,1,0,0,1
6260,0,0,0,0,1
4773,1,1,0,0,1
531,0,1,0,1,0
5972,0,1,0,1,1
119,0,0,0,0,0
2504,1,0,0,0,1
1435,0,1,0,0,1
7368,1,1,0,0,1
905,0,0,1,0,0
1382,0,1,0,1,0
2601,0,0,0,0,1
5947,0,0,0,0,1
5601,0,1,0,0,1
1915,1,1,0,0,1
1096,0,0,1,1,0
3838,0,0,0,0,1
6505,0,0,0,1,0
5925,0,1,0,0,1
4776,0,0,0,0,1
6219,0,0,0,1,1
1366,0,0,0,0,1
1445,0,0,0,0,1
7159,0,1,0,1,0
1039,0,1,0,0,1
2802,0,1,0,0,0
4337,0,0,1,0,0
3489,0,0,0,0,0
6161,0,0,1,0,1
2961,0,1,1,0,0
2192,0,1,0,1,0
1770,0,0,0,1,1
4500,0,0,0,1,1
1376,1,1,0,0,1
5004,0,0,0,0,0
2465,0,0,0,0,0
809,0,0,0,1,1
3756,0,1,0,0,1
4087,0,0,0,0,0
1703,1,0,0,0,1
4443,1,1,0,0,1
561,0,0,0,0,0
5124,0,0,1,0,1
7191,0,0,0,0,0
6175,0,0,0,0,0
1999,0,1,1,0,1
2225,0,0,0,1,1
5726,0,1,0,0,0
3651,0,0,0,0,0
6584,1,0,0,0,1
7406,1,0,0,0,1
7872,0,0,0,0,1
1757,0,1,0,0,1
3865,0,0,0,0,1
6188,1,1,0,0,1
5863,0,0,0,0,0
7070,1,0,0,0,1
4265,0,0,0,0,1
855,0,1,0,0,1
2821,0,0,1,1,1
3467,0,1,0,0,1
5172,0,0,1,0,0
4996,0,0,0,0,0
7858,0,0,0,0,0
7440,0,1,0,1,0
852,0,0,0,0,0
6615,0,0,1,0,1
5503,0,0,0,0,1
2445,0,1,0,0,1
4703,0,0,1,0,0
5377,0,1,0,1,0
6137,1,1,0,0,1
7630,0,1,0,1,0
6776,1,0,0,0,1
6721,0,0,0,0,1
3451,0,0,0,0,1
6726,0,0,0,0,0
3386,0,0,0,0,1
4699,0,0,0,0,1
5538,0,0,0,0,0
1488,0,1,0,1,0
4126,0,0,0,0,0
2528,0,1,1,0,1
1359,0,0,0,0,1
4306,0,0,0,0,0
248,0,0,0,0,1
3148,0,1,0,0,1
2006,0,0,0,0,1
4190,0,1,0,0,0
200,0,0,0,1,1
3955,1,1,0,0,1
3475,0,1,0,0,0
1698,0,0,0,0,0
2746,1,1,0,0,0
6868,0,1,0,1,1
1593,0,0,0,0,1
3889,0,1,0,0,0
3773,1,1,0,0,1
6816,0,0,0,1,1
112,0,0,0,0,0
1603,0,0,0,0,0
7802,1,1,0,0,1
672,0,0,0,0,1
5084,0,1,0,0,0
6762,0,1,0,0,1
7163,0,0,0,0,0
1731,0,1,0,1,0
5749,0,0,0,0,1
818,0,1,0,0,1
3604,0,1,0,0,1
6329,0,0,0,0,0
7788,1,1,1,0,1
2372,0,0,1,0,1
5488,0,0,0,0,1
5461,0,1,0,0,1
5102,0,0,0,0,0
2060,0,0,0,0,0
1183,1,1,0,0,1
4878,0,0,0,0,0
4754,0,1,0,0,0
3754,0,0,1,0,0
5900,1,1,0,0,1
3845,0,1,0,0,0
6953,0,1,0,0,1
5790,0,1,0,0,1
1268,0,1,0,0,0
2450,0,1,0,0,0
4886,0,0,0,1,1
3758,0,0,1,0,0
5906,0,1,0,0,0
6570,0,1,0,0,0
634,0,0,0,0,1
1483,0,1,0,0,0
19,1,1,1,0,1
3126,0,0,0,0,0
2139,0,0,1,0,1
6872,0,0,0,1,1
6943,0,1,0,0,1
5864,0,1,0,0,1
6042,0,1,0,0,1
3337,0,1,0,1,1
5915,0,0,0,0,1
3079,0,0,0,0,0
6173,0,1,0,0,0
1984,0,0,0,0,0
383,0,1,0,0,1
7771,0,0,0,0,1
4950,0,1,0,0,0
5489,0,1,0,0,1
6193,0,1,0,0,0
2900,0,1,0,0,1
6022,0,1,1,0,1
1912,1,1,0,0,1
1392,0,1,0,0,1
1996,1,1,0,0,1
5840,0,0,0,0,0
3910,0,0,0,0,1
1491,0,1,1,0,1
5764,0,1,0,1,1
7727,0,1,0,0,1
4823,0,1,0,1,0
7343,0,0,0,1,1
2677,1,1,0,0,1
3697,0,1,0,1,1
3525,0,0,0,0,1
4700,0,1,0,0,0
6961,0,1,0,0,0
4691,0,0,0,1,0
7622,0,0,0,0,0
7483,0,0,0,0,0
7388,0,0,0,0,0
6977,0,0,0,0,0
3481,0,0,0,0,1
2008,0,1,0,1,1
6793,0,1,0,0,1
5106,1,1,0,0,1
50,0,1,0,1,0
2216,0,0,0,0,0
7842,0,0,0,0,0
4334,0,1,1,1,0
2152,0,1,1,1,0
1069,0,0,0,0,0
7331,0,0,0,0,0
1187,0,1,0,0,1
4748,1,1,0,0,0
6291,0,1,0,0,0
520,0,1,1,0,0
5324,0,0,0,0,0
7015,1,1,0,0,1
4300,0,0,0,0,0
3389,0,0,1,0,0
6166,0,0,0,0,1
3894,0,0,0,0,1
4559,0,0,0,0,1
2345,0,1,0,1,1
6552,0,1,0,1,0
213,0,0,0,1,0
3608,0,1,0,0,0
334,0,0,0,0,0
3811,1,1,0,1,1
4164,0,0,0,1,1
2866,0,1,1,0,0
1111,0,0,0,0,0
2846,0,1,0,1,0
4363,0,0,0,0,1
4720,0,0,0,0,0
3490,0,0,0,0,1
1003,0,1,0,0,1
7236,0,0,0,0,0
1517,0,0,0,0,0
2998,0,1,0,0,0
6630,0,1,0,0,0
3414,0,0,0,1,1
5516,1,1,0,0,1
4849,0,1,0,0,0
4492,0,0,0,0,0
2959,0,1,0,0,0
333,0,0,0,0,1
3197,0,1,0,1,0
1956,0,0,0,0,0
2896,1,1,0,0,1
3583,0,0,0,0,1
4902,0,0,1,0,0
7587,0,0,0,1,1
1562,0,0,0,0,0
2220,0,0,0,0,0
7084,0,0,0,0,0
7390,0,0,0,0,0
625,0,0,0,0,1
7461,0,0,0,0,0
4738,0,1,0,1,0
2331,0,1,0,0,0
3335,0,1,1,0,1
7682,0,1,0,0,1
7907,0,0,0,0,1
4030,0,0,0,0,1
4965,0,1,1,0,1
1416,0,0,1,0,1
75,1,1,0,0,1
1315,0,0,1,0,0
1858,0,0,0,0,0
5095,0,1,0,0,1
3902,0,1,0,0,1
502,0,0,0,0,1
3505,0,0,0,0,0
6119,0,1,0,1,1
948,0,0,1,0,0
6706,1,1,0,0,1
550,0,0,0,0,0
746,0,0,0,0,1
7184,0,0,0,0,1
24,0,0,0,0,1
6835,0,0,0,0,1
7142,0,0,0,0,1
1471,0,1,1,1,1
5588,0,0,1,0,0
4440,1,1,0,0,1
5706,0,1,0,1,0
3432,0,0,0,0,0
510,0,0,0,0,0
7247,0,0,0,0,0
1162,0,1,0,0,0
3745,0,0,0,0,0
5466,0,1,0,1,1
2399,1,1,1,0,1
999,0,0,0,0,0
2436,0,0,0,0,0
167,0,0,0,0,0
1662,0,1,0,0,0
2173,0,0,0,0,0
1792,0,1,0,1,0
3042,0,0,0,1,1
7203,0,1,0,0,1
3167,0,1,0,0,1
2550,0,1,0,0,0
1916,0,1,1,0,1
3028,0,0,1,1,0
7725,0,0,0,0,0
2839,0,1,0,0,1
4387,0,0,0,0,1
7575,0,0,0,0,0
6917,0,0,0,0,1
122,1,1,0,0,1
2030,0,0,0,1,1
1248,0,0,1,1,1
3127,0,0,0,0,1
6928,0,1,0,0,1
4927,0,0,0,0,0
6207,0,0,1,0,1
1726,1,1,0,1,1
1866,0,0,0,0,0
6815,0,1,0,0,1
3547,0,1,0,1,0
4163,0,1,0,0,0
1344,0,1,0,0,0
484,0,1,0,0,0
4518,0,0,0,0,0
697,0,1,0,0,1
2520,0,0,0,0,0
3620,0,1,0,1,1
5453,0,0,0,0,0
6873,0,0,0,0,0
4407,0,0,1,0,0
3709,0,0,0,1,1
3855,0,0,0,0,1
4567,0,0,0,0,0
1091,0,0,1,0,1
4704,0,0,0,0,1
381,0,1,1,0,0
4766,0,1,0,0,1
3629,0,1,0,0,1
4528,0,1,0,1,0
3791,0,0,0,1,1
2379,0,1,0,1,1
281,0,1,0,0,1
6866,0,1,0,0,1
3742,0,1,0,0,0
6455,1,1,0,0,1
596,0,1,0,1,1
5778,1,1,0,0,1
3021,0,0,0,1,1
5246,0,0,0,0,1
573,0,0,1,0,1
2542,1,0,0,0,1
113,0,0,1,0,0
335,0,1,1,0,1
7385,0,1,0,1,1
4960,0,1,0,0,0
3801,0,1,0,0,1
6983,0,1,0,0,1
1769,0,0,0,0,1
841,0,1,0,0,1
6016,0,0,0,0,1
3569,0,1,0,0,0
612,0,0,0,0,1
7893,0,1,0,0,0
2898,0,0,1,0,0
845,0,0,0,0,1
5306,0,1,0,0,0
7208,0,0,0,0,0
7171,0,1,0,0,0
6519,0,1,0,0,1
1228,0,1,0,1,1
7374,1,0,0,0,1
5138,0,1,0,1,0
5313,0,0,0,1,1
3574,0,0,1,1,0
7540,0,1,0,0,1
6695,0,1,0,0,1
6235,0,0,1,0,0
3684,0,0,0,0,0
915,1,1,0,0,1
7950,0,1,1,1,0
4946,1,0,0,0,1
2795,0,1,0,0,0
2084,0,1,0,1,1
3741,0,0,1,0,0
1987,0,0,0,0,0
5659,0,0,0,0,0
2278,1,0,0,0,1
3084,0,0,0,0,1
628,0,0,0,0,0
5366,1,0,0,0,1
7733,0,0,0,0,1
2385,1,1,0,0,1
2761,0,1,0,0,0
1796,0,1,1,0,0
1320,0,0,0,0,0
1110,0,0,0,0,0
2664,1,1,0,1,1
3626,0,0,0,0,0
7260,0,0,0,0,0
22,0,0,0,0,0
6211,0,0,0,1,1
7042,0,0,1,1,0
7863,0,0,0,0,0
2892,0,0,0,0,0
5581,0,1,0,1,0
7137,0,0,0,0,1
3964,0,1,1,0,0
7476,0,0,0,0,1
3874,0,0,0,0,0
2424,0,0,1,0,1
7346,0,0,0,0,1
5822,0,0,0,0,0
6925,0,1,0,0,1
5073,1,1,0,1,1
5773,1,1,0,1,0
4156,0,0,1,0,0
1618,0,1,0,0,0
7760,0,1,1,0,0
7105,0,0,0,0,0
4809,0,1,1,0,1
7437,0,1,0,1,0
7674,0,0,0,0,0
2276,1,0,1,0,1
6729,1,1,0,0,0
3175,0,0,0,0,1
1786,0,1,0,0,1
2505,0,0,0,0,1
6922,0,0,0,0,0
2857,0,1,0,1,0
5240,0,0,0,0,1
1510,1,0,0,0,1
2506,0,0,0,0,1
4405,0,0,0,0,1
5597,0,0,0,0,1
4744,0,0,1,0,1
1234,0,0,0,1,1
7245,0,0,0,0,0
4400,0,1,0,1,0
5845,0,0,1,1,0
3732,0,0,1,0,0
7204,0,0,0,1,1
3272,0,1,1,1,0
1088,0,0,1,0,1
1816,0,0,0,0,1
7789,0,1,0,0,0
5197,0,1,0,1,1
6904,0,0,1,0,0
7307,0,0,0,0,1
2311,0,1,0,1,0
6303,0,0,0,0,0
6940,1,1,0,0,1
1191,0,0,0,0,1
4859,0,0,0,1,1
1332,1,0,0,0,1
4872,0,1,0,0,1
259,0,0,0,0,0
2355,0,1,0,0,1
59,0,1,0,0,1
1450,0,0,0,1,1
1095,0,0,0,0,0
964,0,0,0,0,0
4922,0,1,0,0,1
4044,0,0,0,1,1
7644,0,1,0,1,0
3142,1,1,1,0,1
3669,0,1,0,0,1
1262,0,1,0,0,1
4964,0,0,0,0,0
1357,0,0,0,0,0
6028,0,0,0,0,0
6249,0,1,0,0,1
6010,0,1,0,0,1
1318,1,1,0,0,0
2844,0,0,0,0,0
1978,0,1,0,0,0
7629,0,1,0,0,1
4650,0,0,0,0,0
329,1,0,0,0,1
1161,0,1,0,1,1
6660,0,1,0,0,0
6247,0,1,0,0,0
5609,0,1,0,0,1
5070,0,0,1,0,0
1839,0,1,0,1,1
2642,0,0,0,1,1
6337,0,0,0,0,0
3055,0,1,0,0,1
636,0,1,0,1,1
2565,1,1,0,0,1
2187,0,1,0,1,1
1975,0,1,1,0,1
4737,0,1,0,0,0
3384,0,0,0,0,0
4422,0,0,0,1,1
3500,1,1,0,0,1
7218,0,0,0,0,0
3067,0,0,0,0,0
4698,0,1,0,0,1
6038,0,0,0,0,0
7121,0,1,0,0,1
3112,0,1,0,0,0
3918,0,1,0,0,0
658,0,0,1,1,1
2102,1,1,0,0,1
6381,0,1,0,0,1
202,0,1,1,0,0
1754,0,0,0,1,1
4669,0,1,0,1,1
2902,0,1,0,0,1
4465,1,0,0,0,0
788,0,0,0,0,0
7947,0,0,0,0,1
5100,1,1,0,1,1
1606,0,0,1,0,0
1229,1,1,0,0,1
7183,0,0,1,0,0
453,0,1,0,1,0
2584,0,0,0,0,0
4077,1,1,1,0,1
797,1,1,0,0,1
7581,1,0,0,0,1
5131,0,1,0,1,1
7675,0,0,0,0,1
5959,1,0,0,0,1
2828,1,1,0,0,1
3962,0,1,0,0,0
4209,0,1,0,1,0
2627,0,1,0,0,0
7698,0,0,0,0,0
7612,0,1,0,0,0
483,0,0,1,0,1
7252,0,1,0,0,0
970,0,0,0,1,1
2619,0,0,0,0,0
3580,0,0,0,0,0
4366,0,0,0,0,0
6555,0,0,0,0,0
856,0,1,0,0,1
4607,0,0,0,0,1
3920,0,1,0,0,1
3963,0,1,0,0,1
7548,0,1,0,0,0
4352,0,1,0,0,1
1237,0,0,1,0,1
6402,0,0,0,0,0
5228,0,1,0,0,0
4062,1,1,0,0,1
6803,0,1,1,0,1
5445,0,1,0,1,0
3573,0,0,1,0,1
7063,0,1,0,0,0
5179,0,0,0,0,0
6831,0,0,0,0,0
4619,0,1,0,0,1
3848,0,0,0,0,0
5787,0,0,0,0,1
6861,0,1,0,0,1
3559,0,0,0,0,1
6775,0,0,0,0,1
4876,1,1,0,0,1
1611,0,0,0,1,1
3211,0,1,1,0,1
1362,0,1,1,0,0
2779,0,1,0,0,1
6674,0,1,0,1,0
7089,1,1,0,0,1
313,0,0,0,0,1
2164,0,0,0,0,0
1193,0,0,0,0,1
525,0,0,0,0,1
4746,0,1,0,0,1
920,0,1,0,0,0
1771,0,0,0,0,1
4450,0,0,0,1,1
5716,0,0,0,0,0
7656,0,0,0,0,0
5710,1,0,0,0,1
5782,0,0,0,1,1
605,0,0,0,1,1
803,0,0,0,0,0
2309,0,1,0,0,1
4016,0,0,0,0,0
5341,0,0,0,0,0
1763,0,0,0,0,1
2015,0,0,0,0,0
6637,0,0,0,0,0
5860,1,1,0,1,1
2782,0,0,0,0,0
7721,0,1,0,0,0
1776,1,1,1,0,1
7086,0,0,1,0,1
5831,0,1,1,0,0
5725,0,1,0,1,0
7362,1,0,1,0,1
2071,0,0,0,0,1
5657,0,1,0,0,1
5916,0,0,0,0,1
3988,0,1,0,0,0
748,0,1,0,0,0
957,0,0,0,1,1
7212,0,1,0,0,1
3170,0,0,0,0,1
2854,1,1,0,0,1
6216,1,1,0,0,1
1878,0,0,0,0,0
6590,0,0,0,0,1
2964,0,0,0,0,0
7632,1,0,0,0,0
1509,0,0,0,0,1
5632,0,1,0,0,1
5817,0,1,0,0,1
1642,0,0,0,1,0
3617,1,1,0,0,1
4382,1,1,0,0,1
2146,0,1,0,0,1
2622,0,0,0,0,1
975,0,1,0,0,0
7087,0,0,0,0,1
645,0,0,1,0,0
5780,0,0,0,1,0
5794,1,1,0,0,1
1348,0,0,0,0,0
5152,0,0,0,0,1
33,0,0,0,0,1
4022,0,0,0,0,1
263,0,1,0,0,1
1351,0,0,0,1,1
3232,0,1,0,0,0
4521,0,1,0,0,0
6867,0,0,0,0,1
6045,0,0,0,0,0
6697,0,0,0,0,1
7030,0,0,0,0,1
238,0,0,0,1,1
2523,0,0,0,0,1
6508,0,1,0,0,1
5671,0,1,0,0,1
137,0,1,0,0,0
3263,0,0,0,0,0
4692,0,1,1,1,1
6258,0,1,0,0,1
1704,1,0,0,0,1
842,0,1,0,1,1
30,0,0,0,0,0
5679,0,0,0,0,1
2569,0,0,0,0,1
175,0,1,0,0,1
2073,0,0,0,0,0
2211,0,1,1,0,1
5522,0,1,0,1,0
2396,0,1,0,1,0
6601,0,1,0,1,0
1141,0,0,0,0,0
6847,0,0,0,0,1
